site,species,treat,plant,MWC.g,R2.MWC,SWC.g,OP.FT.MPa,TLP.MPa,R2.TLP,RWC.TLP..,MEL.MPa,CFT.MPa.1,CTLP.MPa.1,CFT.molm.2MPa.1,l.mm,d.mm,k.g.s.MPa,r2,K,Ks,t95,t50,tcrit,stem.dia.mm,stem.ba.mm2,leaf.area.cm2,leaf.weight.g,stem.weight.g,lma.g.cm2,al.as.cm2.mm2,leaf.stem.weight.ratio,mean.leaf.temp.c,max.air.temp.day.c,max.air.temp.season.c
suwa,segi,shade,10,1.093,0.94,8.613,-0.473,-1.053,0.94,71.37,1.172,0.292,0.181,1793.63,,,,,,,,,,1.35,1.431388153,24.164,0.1727,0.0595,0.007146996,16.8815146,2.902521008,29.39333333,28.26861111,29.19055556
suwa,segi,sun,1,,,,,,,,,,,,24.31,2.56,-0.161939437,0.991467725,-3.936747701,-0.76483503,53.6,48,41.2,,,,,,,,,33.73529412,28.09694444,38.92944444
suwa,segi,sun,2,,,,,,,,,,,,24.11,2.16,-0.07803312,0.99999647,-1.881378511,-0.513427109,51.1,48.8,46,,,,,,,,,33.73529412,28.09694444,38.92944444
suwa,segi,sun,3,,,,,,,,,,,,25.79,2.18,-0.115464862,0.999932235,-2.977838781,-0.797807864,51.9,48,43,,,,,,,,,33.73529412,28.09694444,38.92944444
suwa,segi,sun,4,,,,,,,,,,,,,,,,,,54.3,49.8,44,,,,,,,,,33.73529412,28.09694444,38.92944444
suwa,segi,sun,5,1.065,0.98,9.271,-0.928,-1.25,0.91,90.49,8.597,0.081,0.155,2639.493,,,,,,,,,,1.64,2.1124069,20.284,0.2954,0.0282,0.014563203,9.602316674,10.4751773,33.73529412,28.09694444,38.92944444
suwa,segi,sun,6,0.845,0.99,6.656,-0.963,-1.388,0.95,91.17,10.078,0.066,0.106,2305.275,,,,,,,,,,1.69,2.243175694,18.571,0.2718,0.0287,0.014635722,8.278887849,9.470383275,33.73529412,28.09694444,38.92944444
suwa,segi,sun,7,,,,,,,,,,,,,,,,,,56,49.7,41.8,,,,,,,,,33.73529412,28.09694444,38.92944444
suwa,segi,sun,8,1.093,0.99,8.855,-0.697,-1.01,0.95,93.61,9.492,0.067,0.096,2837.543,,,,,,,,,,1.63,2.08672438,20.034,0.2881,0.0507,0.014380553,9.600692928,5.682445759,33.73529412,28.09694444,38.92944444
suwa,segi,sun,9,0.772,0.99,12.799,-0.858,-1.171,0.92,90.61,8.586,0.082,0.144,2336.807,,,,,,,,,,1.44,1.628601632,16.628,0.1994,0.035,0.011991821,10.20998609,5.697142857,33.73529412,28.09694444,38.92944444
suwa,segi,sun,10,0.389,0.99,17.986,-0.613,-1.19,0.94,72.12,2.189,0.236,0.207,1750.864,,,,,,,,,,1.14,1.020703453,8.91,0.0914,0.0198,0.010258137,8.729273887,4.616161616,33.73529412,28.09694444,38.92944444
