t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
232.4868289,ABCO,9884.1,small,2,ABCO 9884.1 2 MPa,ABCO 9884.1,28,3.41,-0.300137915,0.999463893,-8.403861608,-0.920195813,v18,3.160863102,native,
232.5500926,ABCO,9884.1,small,0,ABCO 9884.1 0 MPa,ABCO 9884.1,28,3.41,-0.298266512,0.999669709,-8.351462345,-0.914458262,v18,3.764668785,flush,
233.4764319,ABCO,9884.1,small,0,ABCO 9884.1 0 MPa,ABCO 9884.1,28,3.41,-0.307103686,0.998244538,-8.598903209,-0.94155224,v18,0.913365319,vacuum,
234.6935199,ABCO,9884.1,small,0,ABCO 9884.1 0 MPa,ABCO 9884.1,28,3.41,-0.30993452,0.998775113,-8.678166573,-0.950231324,v18,0,vacuum,
232.491806,CADE,9890.1,small,2,CADE 9890.1 2 MPa,CADE 9890.1,28,5.76,-0.221363397,0.987675458,-6.198175108,-0.237864151,v18,88.79937222,native,
232.5683342,CADE,9890.1,small,0,CADE 9890.1 0 MPa,CADE 9890.1,28,5.76,-0.339481129,0.999114793,-9.505471615,-0.364786553,v18,82.82280711,flush,
233.4897948,CADE,9890.1,small,0,CADE 9890.1 0 MPa,CADE 9890.1,280,5.76,-0.344678951,0.999114793,-96.51010635,-3.703718288,v18,-74.40194235,vacuum,
234.6698213,CADE,9890.1,small,0,CADE 9890.1 0 MPa,CADE 9890.1,280,5.76,-0.197634812,0.495311877,-55.33774742,-2.123668027,v18,0,vacuum,
,ABCO,,large,,,,,,,,,,,,tlp,-2.38
,CADE,,large,,,,,,,,,,,,tlp,-1.7
,PILA,,large,,,,,,,,,,,,tlp,-2.23
,PIPO,,large,,,,,,,,,,,,tlp,-2.31
,SEGI,,large,,,,,,,,,,,,tlp,-2.2
